text,label
"Jenkins-pipeline падает на этапе build (npm ERR! EACCES), Docker-контейнеры не запускаются (ImagePullBackOff), и GitLab CI/CD не может подключиться к runner. Деплой поолностью заблокирован.","it"
"Не формируется декларация по НДСС за 3 квартал (ошибка ФЛК 040030001), книга покупок не сходится с регистрами на25 340 руб., и не выгружается УПД контрагенту через Диадок. Отчетность горит!","buh"
"Прошу согласовать гибкий график работы 10:00-19:00 вместо 9:00-18:00 с 01.11. Готов согласовать детали с руководителем отдела.","hr"
"Система бронирования переговорок бронирует, но письма-подтверждения не приходят, встречи не появляются в календаре.","hr"
"При отправке отчета в Росстат через СПАРК-Интерфакс статус «Ошибка шифрования». Сертификат ЭП действителен до 01.03.2026.","buh"
"Где запросить тестовые учетные записи и доступы к UAT: список систем и шаблон заявки?","it"
"Где настроить код толеранса в SAP MM/FI при приходовании и матчинге.","it"
"Ошибка при входе в AWS Console: «Your authent ication information is incorrect». Пароль тчно правильный, пробовал сброс — не помогло.","it"
"Как учитывать чек самозанятого: подтверждающие документы и отсутствие НДС.","buh"
"Как компенсировать такси в ночную смену: лимиты, коды статей и какие чеки прикладывать?","buh"
"Где найти регламент именования файлов и папок на сетевых дисках, чтобы подготовить проект к аудитам?","hr"
"В выгрузке 6-НДФЛ не совпадает сумма удержанного налога с оборотами по счету 68.01. Требуется сверка и исправление алгоритма.","buh"
"Как подключить сетевой принтер на этаже самостоятельно: адрес, драйвер, настройка по инструкции?","it"
"Не проходит этап тестирования в CI/CD: timeout рпи подключении к БД. Локально всё работает.","it"
"В сивтеме электронного обучения LMS не засчитывается прохождение теста «Охрана труда 2025»: набрал 95%, но статус «Не пройдено». Проходной балл 80%.","hr"
"Нужно добавить новый номер телефона для MFA (замена устройства). Старый утерян, доступ к почте есть.","it"
"При попытке запусак Docker-контейнера получаю «Error response from daemon: Conflict. The container name is already in use». Старый контейнер удален.","it"
"После обновления macOS не работает корпоративный VPN (ошибка сертификата), не видны сетевые диски по SMB, и Zoom вылетает при попытке включить камеру. Удаленная работа невозможна.","it"
"Прошу согласовать сверхурочную работу 18.10 с 18:00 до 22:00 для завершения проекта. Руководитель дал устное согласие.","buh"
"По заявке #10241 (ошибка в CRM при формировании счета): проблема не устранена. Пробовал переоткрыть карточку контрагента — ошибка «Не указана валюта» повторяется.","buh"
"Клавиатура на рабочем ноутбуке Dell Latitude 5420 залипает на клавишах «E» и «Space». Работать невозможно, нужна замена или ремонт.","it"
"В SAP при формировании отчета ALV список пустой, хотя данные в таблице есть. Вариант отбора сохранен, фильтры корректны.","buh"
"требуется мигрировать почтовый ящик с Excange 2016 на Exchange 2019 (объем 8 ГБ), перенести все правила и подписи, и настроить автоответчик с разными текстами для внутренних/внешних адресатов.","it"
"В личном кабинете не отображается информация о медицинском страховании. Полис прикреплял в июле, статус «На проверке» до сих пор.","buh"
"Нужна инструкция по выпуску и установке личного сертификата для Диадок/СБИС и проверке в КриптоПро.","buh"
"По дашборду Tableau Sales Performance Q3 (заявка #10322 от 16.10): бесконечная загрузка сохраняется. Другие пользователи видят ту же проблему.","it"
"ТРЕТИЙ ДЕНЬ НЕ МОГУ ЗАЙТИ В СИСТЕМУ! Уже писал два раза, никто не отвечает! Это просто издевательство какое-то, я не могу работать!","hr"
"Служба ТКС (1С-Отчетность) не принимает «Справку о подтверждающих документах по ставке 0%», код ошибки 110. Надо разобраться.","buh"
"Правила бронирования переговорок: приоритеты, лимиты по времени, отмена и уведомления.","hr"
"В 1С документ «Корректировка долга» не влияет на проводки по 62 счету. Требуется понять, какой флаг не установлен.","buh"
"В отчете «Анализ НДС по партиям» отрицательные остатки по партиям, из-за чего не принимается вычет. Просьба перерассчитать последовательность.","buh"
"В системе бронирования переговорок комнаты бронируются, но уведомления не приходят, встречи не появляются в календаре Outlook, и Equipment (проектор, доска) не резервируется автоматически.","it"
"не робит экспорт данных в CSV из аналитической систмы (кнопка неактивна), отчеты в Power BI не обновляются (Query timeout), и Tableau показывает бесконечную загрузку. Аналитиканедоступна.","buh"
"Требуется настроить переадресацию почты с увольняющегося сотрудника petrova@company.ru на меня до 20.10. Приказ о передаче дел приложен.","hr"
"Как отозвать уже поданную заявку наотпуск и перенести даты без потери лимитов?","hr"
"Падает отчёт в Power BI: «Query timeout exceeded» при обновлении набора «Sales_Fact». Нужен временный лимит увеличить/оптимизировать источник.","buh"
"Не формируется отчет «Движение денежных средств (прямой метод)» — пустые колонки по налоговым платежам. Запрос/настройка отчета?","buh"
